iter	Passed	Remaining
638	40612	22943
639	40656	22869
640	40705	22797
641	40754	22725
642	40796	22650
643	40838	22575
644	40876	22498
645	40922	22424
646	40964	22350
647	41003	22273
648	41036	22193
649	41069	22114
650	41107	22037
651	41146	21961
652	41183	21884
653	41230	21813
654	41277	21741
655	41321	21668
656	41362	21594
657	41402	21519
658	41448	21447
659	41494	21376
660	41535	21302
661	41575	21227
662	41843	21268
663	41903	21204
664	41955	21135
665	41996	21061
666	42039	20988
667	42090	20918
668	42144	20851
669	42187	20778
670	42227	20704
671	42268	20631
672	42328	20566
673	42395	20505
674	42468	20447
675	42522	20380
676	42573	20312
677	43022	20432
678	43083	20367
679	43132	20297
680	43181	20227
681	43231	20157
682	43274	20085
683	43342	20023
684	43392	19954
685	43445	19886
686	43495	19816
687	43550	19749
688	43600	19680
689	43644	19608
690	43686	19535
691	43721	19459
692	43763	19387
693	43812	19318
694	43857	19246
695	43901	19175
696	43942	19102
697	43980	19028
698	44022	18956
699	44066	18885
700	44118	18817
701	44163	18747
702	44206	18676
703	44251	18605
704	44294	18534
705	44338	18464
706	44392	18397
707	44436	18326
708	44476	18254
709	44522	18185
710	44562	18113
711	44750	18101
712	44800	18033
713	44836	17959
714	44885	17891
715	44932	17822
716	44970	17749
717	45013	17679
718	45067	17613
719	45110	17543
720	45156	17473
721	45212	17408
722	45258	17339
723	45303	17270
724	45354	17203
725	45448	17152
726	45524	17095
727	46080	17216
728	46142	17153
729	46198	17087
730	46249	17019
731	46302	16952
732	46360	16887
733	46416	16821
734	46471	16754
735	46522	16687
736	46576	16620
737	46637	16556
738	46690	16490
739	46744	16423
740	46798	16357
741	46854	16291
742	46909	16225
743	46958	16157
744	47005	16089
745	47043	16017
746	47094	15950
747	47151	15885
748	47193	15815
749	47236	15745
750	47281	15676
751	47330	15608
752	47382	15542
753	47432	15475
754	47480	15407
755	47523	15338
756	47567	15269
757	47698	15228
758	47817	15183
759	47914	15130
760	47958	15061
761	48006	14994
762	48051	14925
763	48095	14856
764	48142	14788
765	48191	14721
766	48251	14657
767	48297	14589
768	48344	14522
769	48393	14455
770	48450	14390
771	48496	14322
772	48540	14254
773	48953	14293
774	49015	14230
775	49074	14165
776	49130	14100
777	49183	14034
778	49235	13968
779	49288	13902
780	49346	13837
781	49396	13770
782	49449	13704
783	49493	13635
784	49541	13568
785	49592	13502
786	49640	13435
787	49698	13370
788	49747	13303
789	49794	13236
790	49838	13168
791	49891	13102
792	49933	13034
793	49971	12964
794	50008	12895
795	50050	12827
796	50096	12759
797	50133	12690
798	50174	12622
799	50217	12554
800	50260	12486
801	50309	12420
802	50360	12354
803	50407	12288
804	50446	12219
805	50494	12153
806	50929	12180
807	50987	12115
808	51032	12048
809	51084	11982
810	51131	11916
811	51185	11850
812	51243	11786
813	51293	11720
814	51340	11654
815	51396	11589
816	51453	11525
817	51513	11461
818	51827	11453
819	51894	11391
820	51962	11329
821	52052	11271
822	52131	11211
823	52187	11146
824	52243	11081
825	52294	11015
826	52345	10950
827	52399	10884
828	52449	10818
829	52499	10752
830	52548	10686
831	52593	10619
832	52648	10554
833	52689	10487
834	52728	10419
835	52771	10352
836	52817	10285
837	52877	10222
838	52918	10154
839	52961	10087
840	53005	10021
841	53042	9953
842	53087	9887
843	53138	9821
844	53191	9757
845	53237	9691
846	53278	9624
847	53319	9557
848	53365	9491
849	53410	9425
850	53451	9358
851	53492	9292
852	54043	9313
853	54092	9247
854	54136	9181
855	54183	9114
856	54227	9048
857	54272	8982
858	54327	8917
859	54373	8851
860	54419	8785
861	54461	8718
862	54660	8677
863	54734	8615
864	54809	8554
865	54865	8489
866	54917	8424
867	54977	8360
868	55027	8295
869	55080	8230
870	55130	8165
871	55182	8100
872	55236	8035
873	55286	7970
874	55337	7905
875	55392	7840
876	55442	7775
877	55492	7710
878	55543	7645
879	55586	7579
880	55625	7513
881	55663	7447
882	55701	7380
883	55740	7314
884	55779	7248
885	55822	7182
886	55862	7116
887	55903	7050
888	55943	6985
889	55984	6919
890	56034	6854
891	56075	6789
892	56117	6724
893	56159	6658
894	56202	6593
895	56242	6528
896	56289	6463
897	56334	6398
898	56384	6334
899	56427	6269
900	56471	6204
901	56578	6147
902	56764	6097
903	56928	6045
904	57095	5993
905	57153	5929
906	57201	5865
907	57244	5800
908	57306	5736
909	57365	5673
910	57409	5608
911	57466	5545
912	57589	5487
913	57692	5428
914	57759	5365
915	57819	5302
916	57871	5238
917	57922	5173
918	57981	5110
919	58030	5046
920	58080	4981
921	58127	4917
922	58175	4853
923	58226	4789
924	58274	4724
925	58328	4661
926	58382	4597
927	58431	4533
928	58491	4470
929	58550	4407
930	58605	4343
931	58654	4279
932	58706	4215
933	58757	4152
934	58803	4087
935	58844	4023
936	58885	3959
937	58927	3894
938	58964	3830
939	59018	3767
940	59062	3703
941	59105	3639
942	59152	3575
943	59201	3511
944	59247	3448
945	59293	3384
946	59348	3321
947	59393	3257
948	59434	3194
949	59505	3131
950	59662	3074
951	59820	3016
952	59971	2957
953	60080	2896
954	60131	2833
955	60174	2769
956	60222	2705
957	60275	2642
958	60345	2579
959	60393	2516
960	60460	2453
961	60653	2395
962	60726	2333
963	60797	2270
964	60856	2207
965	60922	2144
966	60985	2081
967	61047	2018
968	61101	1954
969	61156	1891
970	61216	1828
971	61298	1765
972	61373	1703
973	61442	1640
974	61502	1576
975	61560	1513
976	61616	1450
977	61664	1387
978	61713	1323
979	61761	1260
980	61803	1197
981	61847	1133
982	61889	1070
983	61944	1007
984	62006	944
985	62071	881
986	62124	818
987	62171	755
988	62227	692
989	62272	629
990	62330	566
991	62382	503
992	62433	440
993	62552	377
994	62705	315
995	62792	252
996	62860	189
997	62937	126
998	63017	63
999	63085	0
